job,describe
Python开发主管,"职位描述技能要求：Python岗位职责：1、参与项目的系统分析和详细设计，负责或参与业务单元核心业务功能与底层基础功能的功能设计、代码实现与单元测试；2、参与设计所负责产品模块的前后台技术框架和实现方案，独立完成新功能新模块的开发，学习和研究新技术以不断满足新的产品需求；3. 持续提升输出产品的质量、性能和稳定性并进行优化；4、有良好的质量意识及代码规范，保证单元测试质量，并完成设计优化及性能优化；5、与公司内部与外部的团队对接，封装第三方接口供团队内部调用。岗位要求：1.统招一本及以上学历，计算机类相关专业，5年及以上后端项目实际工作经验，2年及以上带团队经验；2. 精通Python+MySQL的开发技术，有互联网产品项目开发经验；3. 掌握至少一种web开发框架，包括但不限于Django、Flask、Tornado；4. 对于主流的数据库(Mysql/Postgresql,Mongodb,redis等)有实际的项目使用经验；5. 熟悉Linux，能够编写shell脚本， 熟悉git版本管理工具；6. 拥有良好的代码习惯及逻辑思维能力，并具有高度的责任感和良好的团队合作精神，积极主动、善于学习、肯于钻研。7. 熟悉电商运营模式，参与过电商中后台项目优先，对于高并发、高稳定可用性、高性能、大数据处理有过实际项目产品经验者优先8. 加分项：（1）有搭建高可用，高并发服务的经验；（2）使用过 docker，swarm, kubernetes 等容器技术；（3）了解微服务架构或者搭建过类似系统。（4）有项目部署的经验，熟悉各种 CI/CD 工具的配置及流程；福利待遇：具有竞争力的薪酬+五险一金+节日福利+带薪年假+工龄奖+绩效奖+薪资普调+年终奖+专业培训+岗位晋升上班时间：大小周8小时制，月休6天，具体上班时间为：9:00-12:00；13:30-18:30面试/上班地址：武汉市洪山区佳园路9号同亨大厦11楼（2号线佳园路站A出口直行200米）"
python后端开发实习生,职位描述岗位职责：1.根据需求，开发和维护公司产品和业务系统的前后端。2.编写工具脚本，如服务器定时运维脚本，数据定时统计分析等。3.伴随产品项目，配合开发和维护Restful API后台接口。4.公司安排的其他项目相关工作。岗位要求：1.有Web全栈开发经验，能驾驭前端和后端，对前后端分离项目有一定实战经验。2.熟悉Python的使用，并且对Flask，Tornado，Django或其他Web框架至少熟悉其一。3.熟悉MySQL/MariaDB，Redis，Dynamodb等数据库的使用，有手写SQL的能力。4.能熟练使用HTML，CSS，JavaScript进行开发，熟练使用React及其组件。5.熟悉Linux基本操作，能够独立打包部署维护Python和前端项目。熟练使用Git或者SVN进行团队合作开发。6.具有较好的产品设计和沟通理解能力。加分项：1.熟悉计算机网络，操作系统，数据结构等计算机基础知识；ACM，NOI等比赛经验者优先。2.对新技术有较高的敏感度，了解其他语言，例如C/C++，Erlang、Java、Go等。3.对产品设计敏感，代码格式，技术文档编写有完美偏执倾向者。4.有其他能证明个人已有技术水平的项目，如Github，出版物，个人博客等。
python工程师（区块链）,"职位描述技能要求：Python  职位描述  开发量化自动交易系统，配合策略师在自动化交易系统上实现策略，保证交易策略的高速稳定运行。  开发量化回测系统  熟悉网络通讯协议，包括web socket，rest API，和各类交易接口对接。  熟悉python numpy，pandas，scikit-learn, MongoDB, MYSQL.  对交易框架有一定了解。  算法好，对大数据数理统计建模，数据挖掘，机器学习有一定经验和心得。  熟悉爬虫，对交易所数据的收集，维护，清洗和处理。  有基础的金融常识和理解。对数字货币和区块链有基础了解。   职位要求:  1、全日制本科及以上学历；  2、精通Python、C++或JAVA，计算机语言并能独立编写程序，   加分项：  1、2年以上python开发工作经验；  2、有开发量化交易系统和策略支持的经验者优先考虑；   3、有自动化交易系统开发经验者优先，有数字货币或衍生品市场交易经验者优先。"
python后端工程师,职位描述岗位职责：1.根据需求，开发和维护公司产品和业务系统的前后端。2.编写工具脚本，如服务器定时运维脚本，数据定时统计分析等。3.伴随产品项目，配合开发和维护Restful API后台接口。4.公司内部云服务基础功能开发。岗位要求：1.有Web全栈开发经验，能驾驭前端和后端，对前后端分离项目有一定实战经验。2.熟悉Python的使用，并且对Flask，Tornado，Django或其他Web框架至少熟悉其一。3.熟悉MySQL/MariaDB，Redis，Dynamodb等数据库的使用，有手写SQL的能力。4.能熟练使用HTML，CSS，JavaScript进行开发，熟练使用React及其组件。5.熟悉Linux基本操作，能够独立打包部署维护Python和前端项目。熟练使用Git或者SVN进行团队合作开发。6.具有较好的产品设计和沟通理解能力。加分项：1.熟悉计算机网络，操作系统，数据结构等计算机基础知识；ACM，NOI等比赛经验者优先。2.对新技术有较高的敏感度，了解其他语言，例如C/C++，Erlang、Java、Go等。3.对产品设计敏感，代码格式，技术文档编写有完美偏执倾向者。4.有其他能证明个人已有技术水平的项目，如Github，出版物，个人博客等。
软件开发工程师,职位描述岗位职责：参与公司相关软件开发任职要求：1. 责任心强，有良好的团队协作精神，对程序设计事业有高度的热情；2.熟悉C/C++，熟悉CAD等建模软件；3.具备需求分析和系统设计能力，良好的文档编写能力，代码规范且编程习惯良好；4.计算机相关专业5.本科及以上学历
python编程老师,职位描述技能要求：爬虫 【工作职责】： 1. 根据学员情况，制定学员个性化教案； 2. 按照公司要求，进行“在线1对1 ”授课； 3. 定期汇报备课情况和教学进度，积极反馈学员上课情况。 【任职要求】： 1. 全日制本科以上学历，计算机或教育相关专业，有教师资格证的优先； 2. 工作经验一年以上，有教育、培训、互联网行业、机器人、STEAM、K12、少儿编程教育工作经验优先； 3. 具备抽象编程语言能力，至少掌握一门编程语言，如Ｃ++、Ｃ语言、JAVA、Python、C#等，熟悉Python优先； 4. 形象气质佳、普通话标准，有责任心，有亲和力，热爱教育事业、喜欢与小朋友沟通，有良好的沟通能力。
python高级开发工程师,"职位描述技能要求：Python岗位职责：参与公司产品快速原型开发，创新产品研究；参与项目核心逻辑的需求分析、系统设计；参与业务产品实现方案与技术调研，制定开发方案；做好上级经理交办的其它各项工作。岗位要求：计算机,自动化相关专业本科。有扎实的编程基础，有python两年以上的项目开发经验，熟悉开源框架：Django,Flask,Numpy,Pandas,scipy。熟悉Linux，有良好的数据结构基础和算法基础。掌握Oracle，Mysql，Redis，Postgreslq。Neo4j其中的一种或多种。具有良好的通用模块和框架设计能力。熟悉VUE开发。"
python开发工程师,职位描述技能要求：PYTHON WEB 岗位职责： 1、负责产品核心后台web服务、web应用的开发。  2、根据架构、需求研发安全数据类系统和产品。  3、研究新兴技术，对产品进行持续优化。    岗位要求：  1、本科及以上学历，2年以上扎实的Python编程基础，熟悉常用的开源库；。  2、熟悉Flask/Django/Tornado等常见Python Web框架，注意代码质量和可维护性。  3、熟悉Elasticsearch/Linux/Nginx/Redis等技术生态。  4、熟悉MySQL、MongoDB基本使用； 5、熟悉常见设计模式，熟悉常用的数据结构和算法，具有扎实的服务器端开发功底。 6、具有企业级SAAS系统开发经验者优先。 7、良好的逻辑思维能力和沟通能力，具有很强的问题分析和解决能力，对解决具有挑战性的问题充满激情。
python后台开发工程师,职位描述职位描述：森果后台相关功能开发、数据挖掘和系统维护等。后台必备技能：- 至少自己做过一个网站;- 至少掌握一种面向对象语言;- 熟悉Linux环境;- 熟悉至少一种数据库。后台加分项：- 玩过 Python；- 玩过至少一种非关系型数据库;- 熟悉HTML5 / CSS3 / JS;- 熟悉Python、Shell语言和Vim编程工具，具备编码能力，熟练使用Python标准库- 至少熟悉Django，Flask，Tornado这3个Web框架中的一个简历务必附上github地址
Python开发工程师,"职位描述工作职责：1、从事Web前后台开发、设计任务；2、参与研发过程中的需求分析和架构设计；3、日常技术分享，文档编写，和其他各个职位沟通协作；4、致力于提高产品用户体验；任职资格：1、熟悉Python，编写过web应用程序；2、熟悉Django/Flask等任意Web框架一种或者多种。3、掌握web页面交互流程，熟悉 Javascript调试技术。4、熟悉PostgreSQL或MySQL数据库操作，熟悉SQL语句编写和性能调优。5、有Linux环境使用经验，可以看懂并简单修改Bash/C/Python/Java代码。6、理解并使用过源码管理工具/单元测试框架 /自动化测试工具。7、沟通能力，自学能力强，有强烈的求知欲，有独立解决分析、解决问题的能力，良好的团队合作意识。8、无障碍阅读英文文档。9、本科及以上学历，2年以上工作经验。 有以下技能者加分：1、关注或参与过一个以上的开源项目,理解开源软件的开发流程；2、有安全或大数据的从业经验；3、有数据挖掘经验。4、熟悉敏捷开发流程。"
